file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0454_0004_20762_to_23071,བརྙན་འཕྲིན་ལས་ཁུངས་ཀི་འཁྲབ་ཁྲིད་པ་ཡིན་པེ་ལགས ,brnyan 'phrin las khungs ki 'khrab khrid pa yin pe lags_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0454_0004_20762_to_23071.wav,STT_MV,3,45,2.309,wav16k/STT_MV0454_0004_20762_to_23071.wav,བརྟན་འཕྲིན་ལས་ཁུངས་ཀི་ཕྱབ་སྤྲོད་པ་ཡིན་པེ་ལགས།
STT_AB00264_0196_1404923_to_1411339,མ་གཞི་དཔྱིད་དུས་ཁ་དན་ཡོད་པའི་ས་ཞིང་བགོ་འགྲེམས་དུས་ལ་ཡ་ཞིབ་ཚགས་ཀྱིས་བགོས་མེད་ཙང་།  ,ma gzhi dpyid dus kha dan yod pa'i sa zhing bgo 'grems dus la ya zhib tshags kyis bgos med tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00264_0196_1404923_to_1411339.wav,STT_AB,3,82,6.416,wav16k/STT_AB00264_0196_1404923_to_1411339.wav,མ་གཞི་དཔྱིད་འདུས་ཁ་རྟེན་ཡོད་པའི་ས་ཞིང་བགོས་འགྲེམས་དུས་ལ་ཡ་ཞིབ་ཚགས་ཀྱིས་དགོས་མེད་ཙང་
STT_TT00761_0257_1648655_to_1650799,རྣམ་ཤེས་ཀི་ཡུལ་ཡིན་མཁན།  ,rnam shes ki yul yin mkhan/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0257_1648655_to_1650799.wav,STT_TT,3,25,2.144,wav16k/STT_TT00761_0257_1648655_to_1650799.wav,རྣམ་ཤེས་ཀི་ཡུལ་ཡིན་མཁན།
STT_NS_M0334_0426_2566783_to_2569530,ད་ཨོ་དེ་ང་འགྲོ་ཚར་ཡིན་འདྲ་བོ་ལབ་ཡིན་ཡོད་བ། ད་སྙིང་རྗེ་ཨོ་དེ་ཨེ་ནས།  ,da o de nga 'gro tshar yin 'dra bo lab yin yod ba/_da snying rje o de e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0426_2566783_to_2569530.wav,STT_NS,3,68,2.747,wav16k/STT_NS_M0334_0426_2566783_to_2569530.wav,ད་ཨོ་འདི་ང་འགྲོ་ཚར་ཡིན་འདྲ་བོ་ལབ་ཡིན་ཡོད་བ། ད་སྙིང་རྗེ་ཨོ་དེ་ཨེ་ནས།
STT_NS_M0447_0039_570998_to_575025,ང་ཚོ་འདུག་བ། མི་ཁ་ཤས་ད་ང་ཚོ་ཧོ་ཋེལ་ནང་ལ་དབྱིན་སྐད་ཐོག་ཞུས་ན། ཝའི་ཋྀར་བྱེད་དུས་སྐབས་ལ།  ,nga tsho 'dug ba/_mi kha shas da nga tsho ho Thel nang la dbyin skad thog zhus na/_wa'i Th-ir byed dus skabs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0447_0039_570998_to_575025.wav,STT_NS,3,87,4.027,wav16k/STT_NS_M0447_0039_570998_to_575025.wav,ང་ཚོ་འདུག་བ། མི་ཁ་ཤས། ད་ང་ཚོ་ཧོ་ཋེལ་ནང་ལ་དབྱིན་སྐད་ཐོག་ཞུས་ན་ཝེ་ཋྀར་བྱེད་དུས་སྐབས་ལ།
STT_NS_M0289_0078_462755_to_467244,མཱམ་པདྨ་དབྱངས་ཅན། བཅོ་བརྒྱད་ཨ་མ་ལགས་འགྲམ་མཚམས་མཚམས་ཁ་ལག་ཟ་གར་སླེབས་ཀྱི་རེད། ཨ་ནས་ཨ་མ་ལགས་བུ་གུ་དཔེ་འཆམ་པོ་ཡོད་རེད།  ,mAm pad+ma dbyangs can/_bco brgyad a ma lags 'gram mtshams mtshams kha lag za gar slebs kyi red/_a nas a ma lags bu gu dpe 'cham po yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0078_462755_to_467244.wav,STT_NS,3,116,4.489,wav16k/STT_NS_M0289_0078_462755_to_467244.wav,་པདྨ་དབྱངས་ཅན་བཅོ་བརྒྱད་ཨ་མ་ལགས་འགྲམ་མཚམས་མཚམས་ཁ་ལག་ཟ་གར་སླེབས་ཀི་རེད། ཨ་ནས་ཨ་མ་ལགས་བུ་མོ་དཔེ་འཆམ་པོ་ཡོད་རེད།
STT_AB00264_0197_1411612_to_1417431,རབ་འབྲིང་ལ་ཡ་ཁྱད་པར་ཆེན་པོ་ཤོར་ཡོད་ཙང་ཚོགས་ཆུང་གཉིས་པའི་མང་ཚོགས་ཀྱིས་དེའི་སྐོར་ལ་ཡ་བསམ་འཆར་ཡོད་རེད།  ,rab 'bring la ya khyad par chen po shor yod tsang tshogs chung gnyis pa'i mang tshogs kyis de'i skor la ya bsam 'char yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00264_0197_1411612_to_1417431.wav,STT_AB,3,101,5.819,wav16k/STT_AB00264_0197_1411612_to_1417431.wav,རབ་སབྲིང་ལ་ཡ་ཁྱད་པར་ཆེན་པོ་ཤོར་ཡོད་ཙང་། ཚོགས་ཆུང་གཉིས་པའི་མང་ཚོགས་ཀྱིས་དེའི་སྐོར་ལ་ཡ་བསམ་འཆར་ཡོད་རེད།
STT_AB00047_0093_1065428_to_1077186,ལྷག་པར་ས་གཤིན་ཞིང་ནམ་དུས་དྲོ་ཤས་ཆེ་བ། ཕྱུག་པོ་མང་ཞིང་མིའི་རང་བཞིན་ཡང་ལ་དྲེགས་འགྲན་ཆེ་བ། སྒྱུ་མ་མཁན་སོགས་ཡ་མཚན་པའི་རིགས་ལ་མཆོག་ཏུ་བརྩི། གཙུག་ལག་ཁང་གསུམ་ ,lhag par sa gshin zhing nam dus dro shas che ba/_phyug po mang zhing mi'i rang bzhin yang la dregs 'gran che ba/_sgyu ma mkhan sogs ya mtshan pa'i rigs la mchog tu brtsi/_gtsug lag khang gsum _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00047_0093_1065428_to_1077186.wav,STT_AB,3,152,11.758,wav16k/STT_AB00047_0093_1065428_to_1077186.wav,ལྷག་པར་ས་ཞེངས་ཞིང་ནམ་དུས་དྲོད་ཤི་ཆེ་བ། ཕྱུག་པོ་མང་ཅིང་མིའི་རང་བཞིན་ཡང་ལ་འབྲེགས་འགྲན་ཆེ་བ། སྒྱུ་མ་མཁེན་སོགས་ཡ་མཚན་པའི་རིགས་ལ་མཆོག་ཏུ་བརྩི། གཙུག་ལག་ཁང་གསུམ་
STT_CS-D-2015-M-D-B01-3-R-05_0005_46186_to_51936,ཨ། གཅིག་ཕན་གཅིག་གྲོགས་ཡིན། དང་པོ་དེ་རེད།  ,a/_gcig phan gcig grogs yin/_dang po de red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B01-3-R-05_0005_46186_to_51936.wav,STT_CS,3,42,5.75,wav16k/STT_CS-D-2015-M-D-B01-3-R-05_0005_46186_to_51936.wav,ཨ། གཅིག་ཕུན་གཅིག་བཙོགས་རེ། དང་པོ་དེ་རེད།
STT_PC0022_0253_1466121_to_1468184,ཝང་སླིད་ཞུང་དེ་ལྟ་རང་དབང་གི་ཐོག་ནས་ཕྱི་ལོགས་སླེབས་པ་ཡིན་ན།  ,wang slid zhung de lta rang dbang gi thog nas phyi logs slebs pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0022_0253_1466121_to_1468184.wav,STT_PC,3,60,2.063,wav16k/STT_PC0022_0253_1466121_to_1468184.wav,ཝང་ལིང་ཞུང་དང་རང་དབང་གི་ཐོག་ནས་ཕྱི་ལོགས་སླེབས་པ་ཡིན་ན།
